name,hex
Red,#ED0A3F
Maroon,#C32148
Scarlet,#FD0E35
BrickRed,#C62D42
EnglishVermilion,#CC474B
MadderLake,#CC3336
PermanentGeraniumLake,#E12C2C
MaximumRed,#D92121
IndianRed,#B94E48
Orange-Red,#FF5349
SunsetOrange,#FE4C40
Bittersweet,#FE6F5E
DarkVenetianRed,#B33B24
VenetianRed,#CC553D
LightVenetianRed,#E6735C
VividTangerine,#FF9980
MiddleRed,#E58E73
BurntOrange,#FF7F49
Red-Orange,#FF681F
Orange,#FF8833
MacaroniandCheese,#FFB97B
MiddleYellowRed,#ECB176
MangoTango,#E77200
Yellow-Orange,#FFAE42
MaximumYellowRed,#F2BA49
BananaMania,#FBE7B2
Maize,#F2C649
Orange-Yellow,#F8D568
Goldenrod,#FCD667
Dandelion,#FED85D
Yellow,#FBE870
Green-Yellow,#F1E788
MiddleYellow,#FFEB00
OliveGreen,#B5B35C
SpringGreen,#ECEBBD
MaximumYellow,#FAFA37
Canary,#FFFF99
LemonYellow,#FFFF9F
MaximumGreenYellow,#D9E650
MiddleGreenYellow,#ACBF60
Inchworm,#AFE313
LightChromeGreen,#BEE64B
Yellow-Green,#C5E17A
MaximumGreen,#5E8C31
Asparagus,#7BA05B
GrannySmithApple,#9DE093
Fern,#63B76C
MiddleGreen,#4D8C57
Green,#3AA655
MediumChromeGreen,#6CA67C
ForestGreen,#5FA777
SeaGreen,#93DFB8
Shamrock,#33CC99
MountainMeadow,#1AB385
JungleGreen,#29AB87
CaribbeanGreen,#00CC99
TropicalRainForest,#00755E
MiddleBlueGreen,#8DD9CC
PineGreen,#01786F
MaximumBlueGreen,#30BFBF
Robin'sEggBlue,#00CCCC
TealBlue,#008080
LightBlue,#8FD8D8
Aquamarine,#95E0E8
TurquoiseBlue,#6CDAE7
OuterSpace,#2D383A
SkyBlue,#76D7EA
MiddleBlue,#7ED4E6
Blue-Green,#0095B7
PacificBlue,#009DC4
Cerulean,#02A4D3
MaximumBlue,#47ABCC
Blue(I),#4997D0
CeruleanBlue,#339ACC
Cornflower,#93CCEA
Green-Blue,#2887C8
MidnightBlue,#00468C
NavyBlue,#0066CC
Denim,#1560BD
Blue(III),#0066FF
CadetBlue,#A9B2C3
Periwinkle,#C3CDE6
Blue(II),#4570E6
WildBlueYonder,#7A89B8
Indigo,#4F69C6
Manatee,#8D90A1
CobaltBlue,#8C90C8
CelestialBlue,#7070CC
BlueBell,#9999CC
MaximumBluePurple,#ACACE6
Violet-Blue,#766EC8
Blue-Violet,#6456B7
UltramarineBlue,#3F26BF
MiddleBluePurple,#8B72BE
PurpleHeart,#652DC1
RoyalPurple,#6B3FA0
Violet(II),#8359A3
MediumViolet,#8F47B3
Wisteria,#C9A0DC
Lavender(I),#BF8FCC
VividViolet,#803790
MaximumPurple,#733380
PurpleMountains'Majesty,#D6AEDD
Fuchsia,#C154C1
PinkFlamingo,#FC74FD
Violet(I),#732E6C
BrilliantRose,#E667CE
Orchid,#E29CD2
Plum,#8E3179
MediumRose,#D96CBE
Thistle,#EBB0D7
Mulberry,#C8509B
Red-Violet,#BB3385
MiddlePurple,#D982B5
MaximumRedPurple,#A63A79
JazzberryJam,#A50B5E
Eggplant,#614051
Magenta,#F653A6
Cerise,#DA3287
WildStrawberry,#FF3399
Lavender(II),#FBAED2
CottonCandy,#FFB7D5
CarnationPink,#FFA6C9
Violet-Red,#F7468A
Razzmatazz,#E30B5C
PigPink,#FDD7E4
Carmine,#E62E6B
Blush,#DB5079
TickleMePink,#FC80A5
Mauvelous,#F091A9
Salmon,#FF91A4
RadicalRed,#FF355E
WildWatermelon,#FD5B78
OutrageousOrange,#FF6037
AtomicTangerine,#FF9966
NeonCarrot,#FF9933
Sunglow,#FFCC33
LaserLemon,#FFFF66
UnmellowYellow,#FFFF66
ElectricLime,#CCFF00
Screamin'Green,#66FF66
MagicMint,#AAF0D1
BlizzardBlue,#50BFE6
ShockingPink,#FF6EFF
RazzleDazzleRose,#EE34D2
HotMagenta,#FF00CC
PurplePizzazz,#FF00CC
SizzlingRed,#FF3855
RedSalsa,#FD3A4A
TartOrange,#FB4D46
OrangeSoda,#FA5B3D
BrightYellow,#FFAA1D
YellowSunshine,#FFF700
SlimyGreen,#299617
GreenLizard,#A7F432
DenimBlue,#2243B6
BlueJeans,#5DADEC
PlumpPurple,#5946B2
PurplePlum,#9C51B6
FieryRose,#FF5470
SizzlingSunrise,#FFDB00
HeatWave,#FF7A00
LemonGlacier,#FDFF00
SpringFrost,#87FF2A
AbsoluteZero,#0048BA
WinterSky,#FF007C
Frostbite,#E936A7
